currentGA	bestGA	
3226.02	3226.02	
2752.95	3226.02	
2824.38	3226.02	
2125.8	3226.02	
2795.24	3226.02	
2364.22	3226.02	
2479.79	3226.02	
2448.48	3226.02	
2059.89	3226.02	
2208.88	3226.02	
2671.95	3226.02	
2179.3	3226.02	
2276.6	3226.02	
2576.24	3226.02	
2412.46	3226.02	
2416.59	3226.02	
2040.55	3226.02	
2238.57	3226.02	
3248.48	3248.48	
2723.22	3248.48	
3072.35	3248.48	
2573.82	3248.48	
2243.57	3248.48	
2943.44	3248.48	
2257.75	3248.48	
2616.22	3248.48	
2255.25	3248.48	
3074.84	3248.48	
2647.3	3248.48	
2331.75	3248.48	
2698.16	3248.48	
2541.65	3248.48	
2282.38	3248.48	
2262.9	3248.48	
2165.68	3248.48	
2538.1	3248.48	
2298.66	3248.48	
2286.36	3248.48	
2583.4	3248.48	
2475.87	3248.48	
2481.28	3248.48	
2516.27	3248.48	
2986.71	3248.48	
2192.29	3248.48	
2797.5	3248.48	
2604.2	3248.48	
3185.04	3248.48	
2662.41	3248.48	
2194.45	3248.48	
2684.03	3248.48	
2456.51	3248.48	
2522.7	3248.48	
2576.05	3248.48	
1788.89	3248.48	
2153.17	3248.48	
2494.33	3248.48	
2618.71	3248.48	
2367.15	3248.48	
2436.43	3248.48	
2113.94	3248.48	
2113.94	3248.48	
