currentGA	bestGA	
756353	756353	
368406	756353	
959489	959489	
638451	959489	
409607	959489	
499174	959489	
489493	959489	
425798	959489	
861977	959489	
547707	959489	
808764	959489	
634923	959489	
430659	959489	
921083	959489	
859086	959489	
765505	959489	
342605	959489	
796725	959489	
435562	959489	
583538	959489	
639688	959489	
789978	959489	
568189	959489	
671284	959489	
681457	959489	
773586	959489	
636752	959489	
720385	959489	
712220	959489	
459710	959489	
579635	959489	
342502	959489	
547799	959489	
613399	959489	
1.02653e+06	1.02653e+06	
519630	1.02653e+06	
707646	1.02653e+06	
383564	1.02653e+06	
1.13041e+06	1.13041e+06	
246912	1.13041e+06	
668213	1.13041e+06	
1.11228e+06	1.13041e+06	
904125	1.13041e+06	
915609	1.13041e+06	
621961	1.13041e+06	
440220	1.13041e+06	
1.17435e+06	1.17435e+06	
667159	1.17435e+06	
475665	1.17435e+06	
448365	1.17435e+06	
646137	1.17435e+06	
743699	1.17435e+06	
716922	1.17435e+06	
422262	1.17435e+06	
843281	1.17435e+06	
710429	1.17435e+06	
685266	1.17435e+06	
555163	1.17435e+06	
643286	1.17435e+06	
208100	1.17435e+06	
208100	1.17435e+06	
