currentGA	bestGA	
-117.954	-117.954	
-118.238	-117.954	
-118.136	-117.954	
-118.083	-117.954	
-117.879	-117.879	
-118.145	-117.879	
-118.244	-117.879	
-118.332	-117.879	
-118	-117.879	
-118.086	-117.879	
-118.139	-117.879	
-118.088	-117.879	
-118.189	-117.879	
-118.525	-117.879	
-118.325	-117.879	
-117.943	-117.879	
-117.874	-117.874	
-118.421	-117.874	
-118.403	-117.874	
-117.882	-117.874	
-118.312	-117.874	
-118.411	-117.874	
-118.381	-117.874	
-118.111	-117.874	
-118.404	-117.874	
-118.555	-117.874	
-118.052	-117.874	
-118.336	-117.874	
-118.849	-117.874	
-118.004	-117.874	
-118.603	-117.874	
-118.129	-117.874	
-118.145	-117.874	
-118.163	-117.874	
-118.21	-117.874	
-118.654	-117.874	
-118.127	-117.874	
-118.239	-117.874	
-118.251	-117.874	
-118.581	-117.874	
-118.195	-117.874	
-118.521	-117.874	
-118.475	-117.874	
-118.004	-117.874	
-118.087	-117.874	
-118.28	-117.874	
-118.735	-117.874	
-117.99	-117.874	
-118.721	-117.874	
-118.258	-117.874	
-118.003	-117.874	
-118.214	-117.874	
-118.165	-117.874	
-118.38	-117.874	
-118.2	-117.874	
-118.461	-117.874	
-118.286	-117.874	
-118.196	-117.874	
-118.504	-117.874	
-118.447	-117.874	
-118.447	-117.874	
