currentGA	bestGA	
1.3475e+10	1.3475e+10	
6.1504e+09	1.3475e+10	
1.9017e+09	1.3475e+10	
6.08777e+08	1.3475e+10	
4.11172e+09	1.3475e+10	
1.08398e+10	1.3475e+10	
2.95518e+09	1.3475e+10	
1.79117e+09	1.3475e+10	
2.95241e+09	1.3475e+10	
1.11274e+09	1.3475e+10	
4.06614e+09	1.3475e+10	
1.65257e+09	1.3475e+10	
7.80926e+09	1.3475e+10	
1.24504e+10	1.3475e+10	
3.16378e+09	1.3475e+10	
7.05045e+08	1.3475e+10	
4.32345e+08	1.3475e+10	
2.17275e+09	1.3475e+10	
1.19039e+10	1.3475e+10	
7.77619e+09	1.3475e+10	
4.5177e+09	1.3475e+10	
6.01336e+09	1.3475e+10	
1.45836e+10	1.45836e+10	
1.19312e+10	1.45836e+10	
6.86467e+09	1.45836e+10	
3.43494e+09	1.45836e+10	
1.80891e+09	1.45836e+10	
5.76005e+09	1.45836e+10	
1.18269e+09	1.45836e+10	
7.81469e+09	1.45836e+10	
7.21044e+09	1.45836e+10	
2.91497e+09	1.45836e+10	
9.9316e+08	1.45836e+10	
5.1334e+09	1.45836e+10	
1.71215e+09	1.45836e+10	
3.23302e+10	3.23302e+10	
4.14626e+09	3.23302e+10	
1.14486e+09	3.23302e+10	
9.61341e+09	3.23302e+10	
4.18527e+09	3.23302e+10	
3.30568e+09	3.23302e+10	
1.39691e+10	3.23302e+10	
9.04339e+09	3.23302e+10	
9.51656e+08	3.23302e+10	
4.81636e+09	3.23302e+10	
5.71091e+09	3.23302e+10	
9.41652e+09	3.23302e+10	
4.83707e+09	3.23302e+10	
7.73787e+09	3.23302e+10	
1.01041e+09	3.23302e+10	
2.87346e+10	3.23302e+10	
7.88026e+09	3.23302e+10	
3.12053e+09	3.23302e+10	
2.12706e+08	3.23302e+10	
8.0025e+09	3.23302e+10	
8.63415e+09	3.23302e+10	
1.62488e+09	3.23302e+10	
2.05468e+09	3.23302e+10	
4.40069e+09	3.23302e+10	
6.62852e+09	3.23302e+10	
6.62852e+09	3.23302e+10	
