currentGA	bestGA	
124532	124532	
228333	228333	
659991	659991	
161087	659991	
645746	659991	
273618	659991	
25505.8	659991	
721978	721978	
264803	721978	
147918	721978	
40651.5	721978	
191696	721978	
106343	721978	
793536	793536	
215917	793536	
257070	793536	
31687.2	793536	
234224	793536	
87408.4	793536	
448050	793536	
313804	793536	
25486.8	793536	
118675	793536	
340073	793536	
43396.1	793536	
199592	793536	
122581	793536	
147875	793536	
50609.3	793536	
160448	793536	
253242	793536	
1.22246e+06	1.22246e+06	
22800.2	1.22246e+06	
475242	1.22246e+06	
487581	1.22246e+06	
86227	1.22246e+06	
190601	1.22246e+06	
177766	1.22246e+06	
572168	1.22246e+06	
44733.1	1.22246e+06	
96486.9	1.22246e+06	
164951	1.22246e+06	
457525	1.22246e+06	
143950	1.22246e+06	
726722	1.22246e+06	
641612	1.22246e+06	
275290	1.22246e+06	
676766	1.22246e+06	
61385	1.22246e+06	
392248	1.22246e+06	
65417.5	1.22246e+06	
202220	1.22246e+06	
120895	1.22246e+06	
65842.9	1.22246e+06	
395205	1.22246e+06	
209964	1.22246e+06	
108478	1.22246e+06	
262528	1.22246e+06	
431976	1.22246e+06	
436201	1.22246e+06	
436201	1.22246e+06	
