currentGA	bestGA	
1855.12	1855.12	
3682.21	3682.21	
2845.52	3682.21	
1769.57	3682.21	
2806.68	3682.21	
3661.66	3682.21	
2191.53	3682.21	
2102.77	3682.21	
3021.73	3682.21	
3703.73	3703.73	
1625.68	3703.73	
1594.87	3703.73	
2836.57	3703.73	
3801.66	3801.66	
2606.82	3801.66	
2479.14	3801.66	
2839.18	3801.66	
2353.7	3801.66	
1727.9	3801.66	
3025.36	3801.66	
2423.81	3801.66	
1953.55	3801.66	
1740.47	3801.66	
1889.32	3801.66	
1874.6	3801.66	
2789.19	3801.66	
1942.87	3801.66	
2693.69	3801.66	
2255.63	3801.66	
4067.32	4067.32	
2633.83	4067.32	
1390	4067.32	
2369.81	4067.32	
1317.41	4067.32	
3452.95	4067.32	
3092.38	4067.32	
2952.08	4067.32	
3190.69	4067.32	
3217.57	4067.32	
1447.13	4067.32	
2032.67	4067.32	
2343.63	4067.32	
1891.43	4067.32	
2937.81	4067.32	
4437.7	4437.7	
2697.89	4437.7	
1676.89	4437.7	
2560.04	4437.7	
2567.96	4437.7	
3296.42	4437.7	
2991.1	4437.7	
5225.1	5225.1	
2600.73	5225.1	
1935.17	5225.1	
1875.78	5225.1	
3380.13	5225.1	
2399.95	5225.1	
3381.28	5225.1	
3273.06	5225.1	
1919.44	5225.1	
1919.44	5225.1	
