currentGA	bestGA	
50.8505	50.8505	
19.0617	50.8505	
90.001	90.001	
319.724	319.724	
50.2782	319.724	
30.6414	319.724	
9.9132	319.724	
-13.2973	319.724	
69.9995	319.724	
290.87	319.724	
35.3994	319.724	
125.833	319.724	
90.8956	319.724	
102.196	319.724	
113.959	319.724	
-40.8251	319.724	
117.424	319.724	
143.748	319.724	
-183.271	319.724	
-17.8672	319.724	
39.3357	319.724	
33.3261	319.724	
355.363	355.363	
-48.9231	355.363	
186.564	355.363	
121.448	355.363	
25.0521	355.363	
66.7902	355.363	
184.395	355.363	
261.411	355.363	
70.1605	355.363	
123.772	355.363	
76.1706	355.363	
79.5809	355.363	
136.21	355.363	
-9.43473	355.363	
21.9315	355.363	
174.958	355.363	
131.251	355.363	
190.204	355.363	
223.643	355.363	
209.701	355.363	
-39.1354	355.363	
110.194	355.363	
177.537	355.363	
301.869	355.363	
-22.3734	355.363	
110.108	355.363	
84.8648	355.363	
97.5249	355.363	
-126.563	355.363	
34.2112	355.363	
-70.8436	355.363	
155.352	355.363	
28.6439	355.363	
65.2419	355.363	
-5.41216	355.363	
37.9249	355.363	
25.7394	355.363	
27.3178	355.363	
27.3178	355.363	
