currentGA	bestGA	
52437.6	52437.6	
92912.1	92912.1	
66979.9	92912.1	
63016.8	92912.1	
91392.3	92912.1	
58674.6	92912.1	
53396.6	92912.1	
106201	106201	
69286.8	106201	
72217.5	106201	
29640.1	106201	
86494.9	106201	
91301.8	106201	
75825.7	106201	
40300.1	106201	
63453.3	106201	
37224.4	106201	
9402.17	106201	
52628.3	106201	
51123.2	106201	
64068	106201	
30940.8	106201	
53651	106201	
59975.7	106201	
26232.2	106201	
33792.7	106201	
37394.7	106201	
49659.8	106201	
74587.5	106201	
54192.9	106201	
70164.9	106201	
77217.5	106201	
42850.3	106201	
65025.1	106201	
70971	106201	
80951.6	106201	
35506.1	106201	
82335.8	106201	
55584.1	106201	
59379.7	106201	
49835.2	106201	
37995.1	106201	
71553.4	106201	
64656.3	106201	
64174.3	106201	
59236.5	106201	
96383	106201	
89249.1	106201	
36261.7	106201	
63096.5	106201	
51038.3	106201	
42795.2	106201	
102700	106201	
69400.6	106201	
62016.7	106201	
89233.2	106201	
72188.9	106201	
102468	106201	
69142.6	106201	
23398.4	106201	
23398.4	106201	
