currentGA	bestGA	
1855.12	1855.12	
3681.64	3681.64	
2843.76	3681.64	
1769.81	3681.64	
2800.57	3681.64	
3336.53	3681.64	
2191.51	3681.64	
2102.62	3681.64	
3020.39	3681.64	
3702.22	3702.22	
1626.83	3702.22	
1594.99	3702.22	
2836.39	3702.22	
3551.01	3702.22	
2606.53	3702.22	
2477.53	3702.22	
2838.46	3702.22	
2352.96	3702.22	
1727.9	3702.22	
3024.93	3702.22	
2423.77	3702.22	
1953.59	3702.22	
1740.5	3702.22	
1889.32	3702.22	
1874.65	3702.22	
2785.49	3702.22	
1942.91	3702.22	
2693.65	3702.22	
2255.45	3702.22	
4031.07	4031.07	
2631.14	4031.07	
1391.56	4031.07	
2367.19	4031.07	
1317.62	4031.07	
3452.27	4031.07	
3071.01	4031.07	
2951.45	4031.07	
3190.42	4031.07	
3208.75	4031.07	
1447.15	4031.07	
2032.67	4031.07	
2308.65	4031.07	
1891.45	4031.07	
2930.78	4031.07	
4437.35	4437.35	
2697.86	4437.35	
1676.89	4437.35	
2549.51	4437.35	
2567.51	4437.35	
3295.62	4437.35	
2990.88	4437.35	
5216.55	5216.55	
2600.71	5216.55	
1935.19	5216.55	
1875.8	5216.55	
3372.32	5216.55	
2399.88	5216.55	
3381.19	5216.55	
3255.65	5216.55	
1919.47	5216.55	
1919.47	5216.55	
