currentGA	bestGA	
-295.018	-295.018	
-295.001	-295.001	
-294.99	-294.99	
-295.019	-294.99	
-294.971	-294.971	
-294.929	-294.929	
-295.121	-294.929	
-294.937	-294.929	
-294.966	-294.929	
-294.996	-294.929	
-294.977	-294.929	
-295.004	-294.929	
-295.102	-294.929	
-295.002	-294.929	
-294.942	-294.929	
-294.985	-294.929	
-295.107	-294.929	
-295.003	-294.929	
-294.979	-294.929	
-294.997	-294.929	
-295.003	-294.929	
-295.016	-294.929	
-294.995	-294.929	
-294.995	-294.929	
-294.997	-294.929	
-294.977	-294.929	
-295.025	-294.929	
-294.867	-294.867	
-295	-294.867	
-294.973	-294.867	
-295.027	-294.867	
-295.036	-294.867	
-294.864	-294.864	
-294.985	-294.864	
-294.623	-294.623	
-294.951	-294.623	
-295.004	-294.623	
-294.894	-294.623	
-294.991	-294.623	
-294.987	-294.623	
-295.047	-294.623	
-294.977	-294.623	
-295	-294.623	
-294.99	-294.623	
-295.017	-294.623	
-295.056	-294.623	
-295.001	-294.623	
-294.883	-294.623	
-295.01	-294.623	
-295.003	-294.623	
-295.047	-294.623	
-295.018	-294.623	
-295.003	-294.623	
-294.933	-294.623	
-294.99	-294.623	
-295.001	-294.623	
-295.05	-294.623	
-294.999	-294.623	
-294.98	-294.623	
-294.985	-294.623	
-294.985	-294.623	
