currentGA	bestGA	
3142.71	3142.71	
2804.05	3142.71	
2809.15	3142.71	
2126.36	3142.71	
2821.79	3142.71	
2366.97	3142.71	
2461.86	3142.71	
2437.37	3142.71	
2057.8	3142.71	
2169.64	3142.71	
2620.24	3142.71	
2156.38	3142.71	
2240.61	3142.71	
2596.94	3142.71	
2416.56	3142.71	
2445.48	3142.71	
2026.53	3142.71	
2258.71	3142.71	
3220.78	3220.78	
2770.05	3220.78	
3091.12	3220.78	
2562.37	3220.78	
2235.43	3220.78	
2945.58	3220.78	
2251.87	3220.78	
2601.64	3220.78	
2214.8	3220.78	
3086.6	3220.78	
2648.38	3220.78	
2345.95	3220.78	
2741.89	3220.78	
2529.99	3220.78	
2300.26	3220.78	
2330.12	3220.78	
2165.46	3220.78	
2559.07	3220.78	
2299.99	3220.78	
2292.83	3220.78	
2696.23	3220.78	
2497.74	3220.78	
2478.97	3220.78	
2546.07	3220.78	
3070.49	3220.78	
2203.34	3220.78	
2798.87	3220.78	
2602.5	3220.78	
3132.29	3220.78	
2682.33	3220.78	
2186.71	3220.78	
2622.16	3220.78	
2430.65	3220.78	
2436.06	3220.78	
2536.7	3220.78	
1792.1	3220.78	
2160.12	3220.78	
2469.4	3220.78	
2636.12	3220.78	
2350.4	3220.78	
2419.21	3220.78	
2130.39	3220.78	
2130.39	3220.78	
