currentGA	bestGA	
-133.315	-133.315	
-121.99	-121.99	
-30.1582	-30.1582	
-22.2318	-22.2318	
-89.5257	-22.2318	
-75.8461	-22.2318	
-116.468	-22.2318	
-66.7758	-22.2318	
-55.0577	-22.2318	
-35.6794	-22.2318	
-154.573	-22.2318	
-41.9955	-22.2318	
-78.8232	-22.2318	
-31.8855	-22.2318	
-76.9834	-22.2318	
-120.546	-22.2318	
-100.79	-22.2318	
-51.3043	-22.2318	
-172.421	-22.2318	
-142.152	-22.2318	
-103.578	-22.2318	
-139.043	-22.2318	
-50.723	-22.2318	
-124.444	-22.2318	
-69.4204	-22.2318	
-91.6902	-22.2318	
-98.8438	-22.2318	
-103.405	-22.2318	
-22.3174	-22.2318	
-6.97559	-6.97559	
-85.7075	-6.97559	
-14.4048	-6.97559	
-87.7097	-6.97559	
-91.3017	-6.97559	
-73.7252	-6.97559	
-64.3528	-6.97559	
-167.921	-6.97559	
-92.827	-6.97559	
-72.0229	-6.97559	
-39.0555	-6.97559	
-95.1244	-6.97559	
-49.493	-6.97559	
-171.582	-6.97559	
-61.1545	-6.97559	
-112.002	-6.97559	
-67.5984	-6.97559	
-104.819	-6.97559	
-80.4599	-6.97559	
-118.087	-6.97559	
-102.795	-6.97559	
-178.046	-6.97559	
-87.6604	-6.97559	
-200.792	-6.97559	
-61.3511	-6.97559	
-119.576	-6.97559	
-140.572	-6.97559	
-129.105	-6.97559	
-102.653	-6.97559	
-66.1238	-6.97559	
-70.5137	-6.97559	
-70.5137	-6.97559	
