currentGA	bestGA	
6136.74	6136.74	
5590.87	6136.74	
5744.26	6136.74	
6284.27	6284.27	
6132.88	6284.27	
5249.43	6284.27	
4430.35	6284.27	
7049.22	7049.22	
5477.33	7049.22	
6188.92	7049.22	
4921.97	7049.22	
7015.5	7049.22	
4694.29	7049.22	
6537.66	7049.22	
5703.87	7049.22	
5144.91	7049.22	
4428.38	7049.22	
3681.8	7049.22	
5047.22	7049.22	
5822.09	7049.22	
5665.78	7049.22	
4513.4	7049.22	
5895.22	7049.22	
6781.65	7049.22	
4735.8	7049.22	
5669.61	7049.22	
4502.04	7049.22	
5132.1	7049.22	
4597.88	7049.22	
5931.68	7049.22	
5983.56	7049.22	
8075.7	8075.7	
4098.25	8075.7	
6971.49	8075.7	
6570.79	8075.7	
5335.02	8075.7	
5608.31	8075.7	
4793.93	8075.7	
7371.5	8075.7	
5570.09	8075.7	
5972.42	8075.7	
6243.96	8075.7	
6551.73	8075.7	
5295.26	8075.7	
7381.51	8075.7	
7376	8075.7	
6241.73	8075.7	
6662.97	8075.7	
5696.4	8075.7	
6061.51	8075.7	
5782.51	8075.7	
5779.9	8075.7	
5606.61	8075.7	
5385.01	8075.7	
6457.25	8075.7	
4982.27	8075.7	
5418.2	8075.7	
5441.74	8075.7	
5693.95	8075.7	
3435.5	8075.7	
3435.5	8075.7	
