vote_mod.arff 1	96.18320610687023	92.36641221374046
soybean_mod.arff 2	92.19512195121952	88.29268292682927
segment-challenge.arff 3	97.55555555555556	95.11111111111111
wine.arff 4	96.29629629629629	74.07407407407408
ionosphere.arff 5	88.67924528301887	86.79245283018868
iris.arff 6	100.0	97.77777777777777
diabetes.arff 7	79.22077922077922	77.05627705627705
glass.arff 8	63.07692307692307	64.61538461538461
labor_mod.arff 9	88.88888888888889	100.0
segment-test_mod.arff 10	93.4156378600823	93.00411522633745
